http://author.charmin.pgsitecore.com/en-us/products/toilet-paper/chamomile-toilet-paper,Chamomile 12,Mega Roll,9
http://author.charmin.pgsitecore.com/en-us/products/toilet-paper/chamomile-toilet-paper,Chamomile 8,Mega Roll,6
http://author.charmin.pgsitecore.com/en-us/products/toilet-paper/chamomile-toilet-paper,Chamomile 12,Double Roll,9
http://author.charmin.pgsitecore.com/en-us/products/toilet-paper/basic-toilet-paper,Basic 30,Double Roll,5
http://author.charmin.pgsitecore.com/en-us/products/toilet-paper/basic-toilet-paper,Basic 8,Bigger Squeeze,4
http://author.charmin.pgsitecore.com/en-us/products/toilet-paper/basic-toilet-paper,Basic 12,Double Bonus,3
http://author.charmin.pgsitecore.com/en-us/products/toilet-paper/basic-toilet-paper,Basic 24,Double Roll (20+4 Bonus),7
http://author.charmin.pgsitecore.com/en-us/products/toilet-paper/basic-toilet-paper,Basic 36,Family Roll,4
http://author.charmin.pgsitecore.com/en-us/products/toilet-paper/basic-toilet-paper,Basic 45,Giant Roll (36+9 Bonus),3
http://author.charmin.pgsitecore.com/en-us/products/toilet-paper/ultra-strong-toilet-paper,Strong 45,Giant Roll (36+9 Bonus),4
http://author.charmin.pgsitecore.com/en-us/products/toilet-paper/ultra-strong-toilet-paper,Strong 36,Family Roll,5
http://author.charmin.pgsitecore.com/en-us/products/toilet-paper/ultra-strong-toilet-paper,Strong 24,Triple Roll,6
http://author.charmin.pgsitecore.com/en-us/products/toilet-paper/ultra-strong-toilet-paper,Strong 12,Mega Roll,7
http://author.charmin.pgsitecore.com/en-us/products/toilet-paper/ultra-strong-toilet-paper,Strong 8,Mega Plus,8
http://author.charmin.pgsitecore.com/en-us/products/toilet-paper/ultra-strong-toilet-paper,Strong 30,Double Roll (24+6 Bonus),9
http://author.charmin.pgsitecore.com/en-us/products/toilet-paper/ultra-soft-toilet-paper,Soft 4,Mega Roll,8
http://author.charmin.pgsitecore.com/en-us/products/toilet-paper/ultra-soft-toilet-paper,Soft 12,Mega Plus,7
http://author.charmin.pgsitecore.com/en-us/products/toilet-paper/ultra-soft-toilet-paper,Soft 24,Family Roll,6
http://author.charmin.pgsitecore.com/en-us/products/toilet-paper/ultra-soft-toilet-paper,Soft 30,Giant Roll,5
http://author.charmin.pgsitecore.com/en-us/products/toilet-paper/ultra-soft-toilet-paper,Soft 36,Jumbo Roll Bonus Pack,4
http://author.charmin.pgsitecore.com/en-us/products/toilet-paper/ultra-soft-toilet-paper,Soft 18,Mega Roll (SIOC),3
